prenom,sum
ABEL,5364
MEHDI,5343
RENAUD,5319
AUDE,5295
AUGUSTIN,5294
CLEMENCE,5275
MURIELLE,5262
MARYVONNE,5251
CARMEN,5249
MUSTAPHA,5210
MARINA,5178
JULIA,5176
MARYLINE,4962
CHRISTOPHER,4955
YOANN,4871
JIMMY,4860
MORGANE,4841
MARLENE,4824
ANNETTE,4818
ALEX,4795
CORALIE,4750
FARID,4704
DANY,4674
REINE,4659
INGRID,4658
THIBAULT,4618
JEREMIE,4618
GAEL,4617
SAMIR,4585
BRAHIM,4544
MANON,4531
KATIA,4469
FERNANDO,4461
EDDY,4439
BRICE,4425
ARMELLE,4407
LUIS,4399
GHISLAIN,4399
HUGO,4397
BLANCHE,4365
NATACHA,4345
CLAUDIE,4337
DIMITRI,4286
KAMEL,4283
LYDIA,4258
EVA,4248
GREGOIRE,4224
WILLY,4223
EMMA,4179
AIMEE,4158
ANDREA,4154
JACKIE,4144
MIGUEL,4137
ROSELYNE,4120
EMILIENNE,4081
FRANCISCO,4078
ANITA,4059
LINDA,4000
CONSTANT,3943
JOHAN,3941
DE,3923
JACK,3900
LUDIVINE,3890
OLIVIA,3851
STEVE,3838
BLANDINE,3825
JOAQUIM,3810
MOISE,3789
MARJORIE,3786
LISE,3757
NOEMIE,3731
PETER,3721
EDWIGE,3699
DEBORAH,3690
LUCILE,3653
OLGA,3650
CHRISTEL,3630
CATHY,3617
ADOLPHE,3609
OMAR,3603
FREDDY,3560
JOAO,3553
SYLVIA,3546
STANISLAS,3543
DOROTHEE,3507
ELSA,3503
BORIS,3488
LUCAS,3483
ROMUALD,3478
BASTIEN,3474
FERDINAND,3459
GEOFFREY,3447
JOSEPHE,3405
MOURAD,3384
EL,3346
JEANNETTE,3341
YOUSSEF,3340
MELISSA,3333
MAGALIE,3328
ANTONIN,3326
LEO,3322
ALBAN,3311
STEPHAN,3304
ADRIENNE,3267
AXEL,3261
JUSTIN,3254
LOUISETTE,3248
ANGELO,3246
STEVEN,3216
HASSAN,3214
CLEMENTINE,3205
MATHIAS,3202
JOHANNA,3199
ARSENE,3198
JORDAN,3187
RUDY,3185
SALAH,3167
JANE,3159
JOCELYN,3149
AMAR,3130
THIBAUT,3115
ALIX,3115
THI,3111
MALIKA,3105
ESTHER,3100
LEONE,3099
EMILIEN,3090
NABIL,3071
CLAUDIA,3031
LEOPOLD,3012
MARY,2994
MYLENE,2993
AGATHE,2988
DIANE,2982
CLOTILDE,2973
TEDDY,2963
MORGAN,2929
JOSEE,2925
ROBERTE,2925
JUAN,2918
GIOVANNI,2888
MIKAEL,2874
JORGE,2861
ROBIN,2834
VICTORIA,2817
ERWAN,2816
JOHANN,2793
ELIZABETH,2789
PIERRICK,2781
JOACHIM,2770
LINE,2741
YOHANN,2738
JOHNNY,2729
CHARLENE,2704
JULIENNE,2698
MARCEAU,2690
PEGGY,2672
CLARA,2670
AUGUSTINE,2669
ALEXIA,2667
MARIELLE,2658
FRANK,2645
CORINE,2643
ROSA,2627
LEONIE,2627
VALENTINE,2613
ALBERTO,2604
LISA,2604
HAMID,2586
GWENAELLE,2584
MARYLENE,2557
KAREN,2537
ANTONY,2534
MEHMET,2514
LAURIE,2489
LEONARD,2488
CELIA,2477
CESAR,2473
LEILA,2472
THEODORE,2469
ELISA,2459
ADELE,2446
IBRAHIM,2442
TRISTAN,2439
RABAH,2425
EMELINE,2421
CHARLINE,2418
SALVATORE,2404
SAUVEUR,2370
ASTRID,2362
HOCINE,2352
ABDALLAH,2350
MOUSSA,2346
OPHELIE,2328
MOHAND,2323
MARINETTE,2321
AMEDEE,2318
ROSELINE,2318
EVE,2307
SYLVETTE,2305
DJAMEL,2304
IVAN,2298
WALTER,2285
PAULO,2284
INES,2284
CELESTIN,2282
THEOPHILE,2274
ACHILLE,2267
CORENTIN,2264
THEO,2263
MAMADOU,2261
CYNTHIA,2255
CECILIA,2253
YOHAN,2251
AURELIA,2248
VIOLETTE,2247
BETTY,2242
CLARISSE,2242
HONORE,2237
SOFIANE,2235
PERRINE,2224
PEDRO,2222
OCTAVE,2190
ABDELAZIZ,2187
MARGAUX,2179
WILFRIED,2176
GEORGE,2173
ANGEL,2162
TATIANA,2149
ALBERTINE,2141
HAKIM,2134
ANNABELLE,2131
KARL,2131
MUSTAFA,2123
ELEONORE,2109
ERICK,2098
CHARLY,2092
STEPHEN,2090
ALBERTE,2076
SANDY,2074
TAHAR,2070
HABIB,2069
KHALID,2068
DOLORES,2063
ABDELLAH,2059
DRISS,2055
ROLLAND,2039
LESLIE,2036
MAEVA,2032
LILIAN,2025
ALAN,2005
FIRMIN,2004
AICHA,2002
VALERY,1998
ELENA,1996
IDA,1970
RONAN,1960
ANA,1957
LEONCE,1952
LUCE,1948
PROSPER,1936
YASSINE,1933
GINO,1932
SALIM,1925
AMINE,1918
SIMONNE,1915
SAMI,1904
REBECCA,1900
OMER,1887
CONSTANCE,1879
GIUSEPPE,1874
MOUNIR,1869
SARA,1867
JUDITH,1852
FRANCESCO,1850
RITA,1847
WILFRID,1841
EPSE,1836
HICHAM,1833
LUIGI,1830
PASCALINE,1825
AZIZ,1815
JESUS,1814
AYMERIC,1806
FLORIANE,1798
ANGELA,1796
